"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
4, -1.500000000000000e+01, -1.500000000000000e+01, -5.250825272742494e-01, -1.050165054548499e+00, 4.341354584570173e-05, -4.341354584570173e-05, 0.000000000000000e+00
2202, -1.500000000000000e+01, -1.497000000000000e+01, -3.587180575067900e-01, -7.174361150135800e-01, 0.000000000000000e+00, -1.450122328585087e-04, 0.000000000000000e+00
2203, -1.500000000000000e+01, -1.494000000000000e+01, -2.708170101558002e-01, -5.416340203116004e-01, 0.000000000000000e+00, -1.394725679976190e-04, 0.000000000000000e+00
2204, -1.500000000000000e+01, -1.491000000000000e+01, -2.093194389292991e-01, -4.186388778585983e-01, 0.000000000000000e+00, -1.317143451660897e-04, 0.000000000000000e+00
2205, -1.500000000000000e+01, -1.488000000000000e+01, -1.590523091522678e-01, -3.181046183045356e-01, 0.000000000000000e+00, -1.222919193389973e-04, 0.000000000000000e+00
2206, -1.500000000000000e+01, -1.485000000000000e+01, -1.188743691374242e-01, -2.377487382748484e-01, 0.000000000000000e+00, -1.161747093614578e-04, 0.000000000000000e+00
2207, -1.500000000000000e+01, -1.482000000000000e+01, -8.980269891273154e-02, -1.796053978254631e-01, 0.000000000000000e+00, -1.146698116468016e-04, 0.000000000000000e+00
2208, -1.500000000000000e+01, -1.479000000000000e+01, -6.755303042348837e-02, -1.351060608469767e-01, 0.000000000000000e+00, -1.158603481612964e-04, 0.000000000000000e+00
2209, -1.500000000000000e+01, -1.476000000000000e+01, -4.826816610696819e-02, -9.653633221393637e-02, 0.000000000000000e+00, -1.137228985105793e-04, 0.000000000000000e+00
2210, -1.500000000000000e+01, -1.473000000000001e+01, -3.084300509912138e-02, -6.168601019824277e-02, 0.000000000000000e+00, -1.128461412743057e-04, 0.000000000000000e+00
2211, -1.500000000000000e+01, -1.470000000000001e+01, -1.715094059859292e-02, -3.430188119718584e-02, 0.000000000000000e+00, -1.144435426252878e-04, 0.000000000000000e+00
2212, -1.500000000000000e+01, -1.467000000000001e+01, -2.418655278800969e-03, -4.837310557601938e-03, 0.000000000000000e+00, -1.081790117780709e-04, 0.000000000000000e+00
2213, -1.500000000000000e+01, -1.464000000000001e+01, 1.754632906298983e-02, 3.509265812597967e-02, 0.000000000000000e+00, -1.003687408272773e-04, 0.000000000000000e+00
2214, -1.500000000000000e+01, -1.461000000000001e+01, 3.567876714703461e-02, 7.135753429406923e-02, 0.000000000000000e+00, -9.794402974468336e-05, 0.000000000000000e+00
2215, -1.500000000000000e+01, -1.458000000000001e+01, 4.934713050840568e-02, 9.869426101681136e-02, 0.000000000000000e+00, -9.746450869854227e-05, 0.000000000000000e+00
2216, -1.500000000000000e+01, -1.455000000000001e+01, 5.875102003251693e-02, 1.175020400650339e-01, 0.000000000000000e+00, -9.883504216349933e-05, 0.000000000000000e+00
2217, -1.500000000000000e+01, -1.452000000000001e+01, 6.801966265069480e-02, 1.360393253013896e-01, 0.000000000000000e+00, -9.952408363583115e-05, 0.000000000000000e+00
2218, -1.500000000000000e+01, -1.449000000000001e+01, 8.049769699707447e-02, 1.609953939941489e-01, 0.000000000000000e+00, -9.518759582340859e-05, 0.000000000000000e+00
2219, -1.500000000000000e+01, -1.446000000000001e+01, 9.261878601239244e-02, 1.852375720247849e-01, 0.000000000000000e+00, -9.017931875368078e-05, 0.000000000000000e+00
2220, -1.500000000000000e+01, -1.443000000000001e+01, 1.033855160339104e-01, 2.067710320678208e-01, 0.000000000000000e+00, -8.822020723801288e-05, 0.000000000000000e+00
2221, -1.500000000000000e+01, -1.440000000000001e+01, 1.135759891548123e-01, 2.271519783096246e-01, 0.000000000000000e+00, -8.829730392074771e-05, 0.000000000000000e+00
2222, -1.500000000000000e+01, -1.437000000000001e+01, 1.229840977547549e-01, 2.459681955095099e-01, 0.000000000000000e+00, -8.642275874655481e-05, 0.000000000000000e+00
2223, -1.500000000000000e+01, -1.434000000000002e+01, 1.342144637709362e-01, 2.684289275418725e-01, 0.000000000000000e+00, -8.434235141130347e-05, 0.000000000000000e+00
2224, -1.500000000000000e+01, -1.431000000000001e+01, 1.454950419914277e-01, 2.909900839828554e-01, 0.000000000000000e+00, -8.203618965603526e-05, 0.000000000000000e+00
2225, -1.500000000000000e+01, -1.428000000000002e+01, 1.560307829584700e-01, 3.120615659169401e-01, 0.000000000000000e+00, -7.976812337254096e-05, 0.000000000000000e+00
2226, -1.500000000000000e+01, -1.425000000000002e+01, 1.647316005002975e-01, 3.294632010005951e-01, 0.000000000000000e+00, -7.930295787006230e-05, 0.000000000000000e+00
2227, -1.500000000000000e+01, -1.422000000000002e+01, 1.713672570627865e-01, 3.427345141255729e-01, 0.000000000000000e+00, -8.107444321247545e-05, 0.000000000000000e+00
2228, -1.500000000000000e+01, -1.419000000000002e+01, 1.765607502587983e-01, 3.531215005175967e-01, 0.000000000000000e+00, -8.318121760145931e-05, 0.000000000000000e+00
2229, -1.500000000000000e+01, -1.416000000000002e+01, 1.820493185777605e-01, 3.640986371555209e-01, 0.000000000000000e+00, -7.988556660276386e-05, 0.000000000000000e+00
2230, -1.500000000000000e+01, -1.413000000000002e+01, 1.910819273666995e-01, 3.821638547333991e-01, 0.000000000000000e+00, -7.542708563374702e-05, 0.000000000000000e+00
2231, -1.500000000000000e+01, -1.410000000000002e+01, 1.991521991712847e-01, 3.983043983425694e-01, 0.000000000000000e+00, -7.444764488017304e-05, 0.000000000000000e+00
2232, -1.500000000000000e+01, -1.407000000000002e+01, 2.057784039504567e-01, 4.115568079009134e-01, 0.000000000000000e+00, -7.517442065852449e-05, 0.000000000000000e+00
2233, -1.500000000000000e+01, -1.404000000000002e+01, 2.127532271415756e-01, 4.255064542831512e-01, 0.000000000000000e+00, -7.337805750011567e-05, 0.000000000000000e+00
2234, -1.500000000000000e+01, -1.401000000000002e+01, 2.208216381876591e-01, 4.416432763753182e-01, 0.000000000000000e+00, -7.026555361451588e-05, 0.000000000000000e+00
2235, -1.500000000000000e+01, -1.398000000000002e+01, 2.278602550913183e-01, 4.557205101826366e-01, 0.000000000000000e+00, -6.863660568378589e-05, 0.000000000000000e+00
2236, -1.500000000000000e+01, -1.395000000000002e+01, 2.333436466726141e-01, 4.666872933452281e-01, 0.000000000000000e+00, -6.806393043206271e-05, 0.000000000000000e+00
2237, -1.500000000000000e+01, -1.392000000000002e+01, 2.378198359744678e-01, 4.756396719489357e-01, 0.000000000000000e+00, -6.879617366252353e-05, 0.000000000000000e+00
2238, -1.500000000000000e+01, -1.389000000000003e+01, 2.417730972396957e-01, 4.835461944793915e-01, 0.000000000000000e+00, -7.028694608910659e-05, 0.000000000000000e+00
2239, -1.500000000000000e+01, -1.386000000000002e+01, 2.454767958386067e-01, 4.909535916772134e-01, 0.000000000000000e+00, -6.886038759999136e-05, 0.000000000000000e+00
2240, -1.500000000000000e+01, -1.383000000000002e+01, 2.509787566330656e-01, 5.019575132661311e-01, 0.000000000000000e+00, -6.669079729476355e-05, 0.000000000000000e+00
2241, -1.500000000000000e+01, -1.380000000000003e+01, 2.566076857734220e-01, 5.132153715468440e-01, 0.000000000000000e+00, -6.646669271485763e-05, 0.000000000000000e+00
2242, -1.500000000000000e+01, -1.377000000000003e+01, 2.619352629694396e-01, 5.238705259388793e-01, 0.000000000000000e+00, -6.568594021018856e-05, 0.000000000000000e+00
2243, -1.500000000000000e+01, -1.374000000000003e+01, 2.669082106038114e-01, 5.338164212076228e-01, 0.000000000000000e+00, -6.469003148880284e-05, 0.000000000000000e+00
2244, -1.500000000000000e+01, -1.371000000000003e+01, 2.709939258349561e-01, 5.419878516699121e-01, 0.000000000000000e+00, -6.540591439595186e-05, 0.000000000000000e+00
2245, -1.500000000000000e+01, -1.368000000000003e+01, 2.750837470978714e-01, 5.501674941957427e-01, 0.000000000000000e+00, -6.685875393124520e-05, 0.000000000000000e+00
2246, -1.500000000000000e+01, -1.365000000000003e+01, 2.789055013168202e-01, 5.578110026336405e-01, 0.000000000000000e+00, -6.604554680350271e-05, 0.000000000000000e+00
